time_s,n_citric_g,x_piston_cm,v_piston_cm_s,s_vehicle_m,v_vehicle_cm_s,n_co2_gas_mol,n_co2_dissolved_mol,P_reactor_bar,n_air_mol
0.709550,242.712989,15.000000,0.000000,0.000000,0.000000,0.00448175,0.00115368,0.0405,0.00000000
0.714550,242.710969,15.000000,0.000000,0.000000,0.000000,0.00451329,0.00116045,0.0407,0.00000000
0.719550,242.708949,15.000000,0.000000,0.000000,0.000000,0.00454483,0.00116719,0.0410,0.00000000
0.724550,242.706930,15.000000,0.000000,0.000000,0.000000,0.00457637,0.00117392,0.0413,0.00000000
0.729550,242.704910,15.000000,0.000000,0.000000,0.000000,0.00460790,0.00118064,0.0416,0.00000000
0.734550,242.702890,15.000000,0.000000,0.000000,0.000000,0.00463944,0.00118733,0.0419,0.00000000
0.739550,242.700870,15.000000,0.000000,0.000000,0.000000,0.00467098,0.00119402,0.0422,0.00000000
0.744550,242.698851,15.000000,0.000000,0.000000,0.000000,0.00470252,0.00120068,0.0424,0.00000000
0.749550,242.696831,15.000000,0.000000,0.000000,0.000000,0.00473405,0.00120733,0.0427,0.00000000
0.754550,242.694812,15.000000,0.000000,0.000000,0.000000,0.00476559,0.00121396,0.0430,0.00000000
0.759550,242.692792,15.000000,0.000000,0.000000,0.000000,0.00479712,0.00122057,0.0433,0.00000000
0.764550,242.690773,15.000000,0.000000,0.000000,0.000000,0.00482866,0.00122717,0.0436,0.00000000
0.769550,242.688753,15.000000,0.000000,0.000000,0.000000,0.00486019,0.00123375,0.0439,0.00000000
0.774550,242.686734,15.000000,0.000000,0.000000,0.000000,0.00489172,0.00124031,0.0442,0.00000000
0.779550,242.684715,15.000000,0.000000,0.000000,0.000000,0.00492326,0.00124686,0.0444,0.00000000
0.784550,242.682695,15.000000,0.000000,0.000000,0.000000,0.00495479,0.00125339,0.0447,0.00000000
0.789550,242.680676,15.000000,0.000000,0.000000,0.000000,0.00498632,0.00125991,0.0450,0.00000000
0.794550,242.678657,15.000000,0.000000,0.000000,0.000000,0.00501785,0.00126641,0.0453,0.00000000
0.799550,242.676638,15.000000,0.000000,0.000000,0.000000,0.00504938,0.00127289,0.0456,0.00000000
0.804550,242.674618,15.000000,0.000000,0.000000,0.000000,0.00508091,0.00127935,0.0459,0.00000000
0.809550,242.672599,15.000000,0.000000,0.000000,0.000000,0.00511244,0.00128581,0.0461,0.00000000
0.814550,242.670580,15.000000,0.000000,0.000000,0.000000,0.00514397,0.00129224,0.0464,0.00000000
0.819550,242.668561,15.000000,0.000000,0.000000,0.000000,0.00517550,0.00129866,0.0467,0.00000000
0.824550,242.666542,15.000000,0.000000,0.000000,0.000000,0.00520702,0.00130506,0.0470,0.00000000
0.829550,242.664523,15.000000,0.000000,0.000000,0.000000,0.00523855,0.00131145,0.0473,0.00000000
0.834550,242.662504,15.000000,0.000000,0.000000,0.000000,0.00527008,0.00131782,0.0476,0.00000000
0.839550,242.660485,15.000000,0.000000,0.000000,0.000000,0.00530160,0.00132417,0.0479,0.00000000
0.844550,242.658466,15.000000,0.000000,0.000000,0.000000,0.00533313,0.00133051,0.0481,0.00000000
0.849550,242.656448,15.000000,0.000000,0.000000,0.000000,0.00536465,0.00133683,0.0484,0.00000000
0.854550,242.654429,15.000000,0.000000,0.000000,0.000000,0.00539618,0.00134314,0.0487,0.00000000
0.859550,242.652410,15.000000,0.000000,0.000000,0.000000,0.00542770,0.00134943,0.0490,0.00000000
0.864550,242.650391,15.000000,0.000000,0.000000,0.000000,0.00545922,0.00135571,0.0493,0.00000000
0.869550,242.648373,15.000000,0.000000,0.000000,0.000000,0.00549075,0.00136197,0.0496,0.00000000
0.874550,242.646354,15.000000,0.000000,0.000000,0.000000,0.00552227,0.00136821,0.0498,0.00000000
0.879550,242.644335,15.000000,0.000000,0.000000,0.000000,0.00555379,0.00137444,0.0501,0.00000000
0.884550,242.642317,15.000000,0.000000,0.000000,0.000000,0.00558531,0.00138065,0.0504,0.00000000
0.889550,242.640298,15.000000,0.000000,0.000000,0.000000,0.00561683,0.00138685,0.0507,0.00000000
0.894550,242.638280,15.000000,0.000000,0.000000,0.000000,0.00564835,0.00139303,0.0510,0.00000000
0.899550,242.636261,15.000000,0.000000,0.000000,0.000000,0.00567987,0.00139920,0.0513,0.00000000
0.904550,242.634243,15.000000,0.000000,0.000000,0.000000,0.00571139,0.00140535,0.0516,0.00000000
0.909550,242.632224,15.000000,0.000000,0.000000,0.000000,0.00574290,0.00141148,0.0518,0.00000000
0.914550,242.630206,15.000000,0.000000,0.000000,0.000000,0.00577442,0.00141761,0.0521,0.00000000
0.919550,242.628188,15.000000,0.000000,0.000000,0.000000,0.00580594,0.00142371,0.0524,0.00000000
0.924550,242.626170,15.000000,0.000000,0.000000,0.000000,0.00583745,0.00142980,0.0527,0.00000000
0.929550,242.624151,15.000000,0.000000,0.000000,0.000000,0.00586897,0.00143588,0.0530,0.00000000
0.934550,242.622133,15.000000,0.000000,0.000000,0.000000,0.00590048,0.00144194,0.0533,0.00000000
0.939550,242.620115,15.000000,0.000000,0.000000,0.000000,0.00593200,0.00144798,0.0535,0.00000000
0.944550,242.618097,15.000000,0.000000,0.000000,0.000000,0.00596351,0.00145401,0.0538,0.00000000
0.949550,242.616079,15.000000,0.000000,0.000000,0.000000,0.00599502,0.00146002,0.0541,0.00000000
0.954550,242.614061,15.000000,0.000000,0.000000,0.000000,0.00602654,0.00146602,0.0544,0.00000000
0.959550,242.612043,15.000000,0.000000,0.000000,0.000000,0.00605805,0.00147201,0.0547,0.00000000
0.964550,242.610025,15.000000,0.000000,0.000000,0.000000,0.00608956,0.00147798,0.0550,0.00000000
0.969550,242.608007,15.000000,0.000000,0.000000,0.000000,0.00612107,0.00148393,0.0553,0.00000000
0.974550,242.605989,15.000000,0.000000,0.000000,0.000000,0.00615258,0.00148987,0.0555,0.00000000
0.979550,242.603971,15.000000,0.000000,0.000000,0.000000,0.00618409,0.00149580,0.0558,0.00000000
0.984550,242.601953,15.000000,0.000000,0.000000,0.000000,0.00621560,0.00150171,0.0561,0.00000000
0.989550,242.599935,15.000000,0.000000,0.000000,0.000000,0.00624711,0.00150760,0.0564,0.00000000
0.994550,242.597917,15.000000,0.000000,0.000000,0.000000,0.00627862,0.00151348,0.0567,0.00000000
0.999550,242.595900,15.000000,0.000000,0.000000,0.000000,0.00631012,0.00151935,0.0570,0.00000000
1.004550,242.593882,15.000000,0.000000,0.000000,0.000000,0.00634163,0.00152520,0.0572,0.00000000
1.009550,242.591864,15.000000,0.000000,0.000000,0.000000,0.00637314,0.00153103,0.0575,0.00000000
1.014550,242.589847,15.000000,0.000000,0.000000,0.000000,0.00640464,0.00153686,0.0578,0.00000000
1.019550,242.587829,15.000000,0.000000,0.000000,0.000000,0.00643615,0.00154266,0.0581,0.00000000
1.024550,242.585812,15.000000,0.000000,0.000000,0.000000,0.00646765,0.00154846,0.0584,0.00000000
1.029550,242.583794,15.000000,0.000000,0.000000,0.000000,0.00649915,0.00155424,0.0587,0.00000000
1.034550,242.581777,15.000000,0.000000,0.000000,0.000000,0.00653066,0.00156000,0.0590,0.00000000
1.039550,242.579759,15.000000,0.000000,0.000000,0.000000,0.00656216,0.00156575,0.0592,0.00000000
1.044550,242.577742,15.000000,0.000000,0.000000,0.000000,0.00659366,0.00157149,0.0595,0.00000000
1.049550,242.575725,15.000000,0.000000,0.000000,0.000000,0.00662516,0.00157721,0.0598,0.00000000
1.054550,242.573707,15.000000,0.000000,0.000000,0.000000,0.00665666,0.00158291,0.0601,0.00000000
1.059550,242.571690,15.000000,0.000000,0.000000,0.000000,0.00668817,0.00158861,0.0604,0.00000000
1.064550,242.569673,15.000000,0.000000,0.000000,0.000000,0.00671967,0.00159428,0.0607,0.00000000
1.069550,242.567655,15.000000,0.000000,0.000000,0.000000,0.00675116,0.00159995,0.0609,0.00000000
1.074550,242.565638,15.000000,0.000000,0.000000,0.000000,0.00678266,0.00160560,0.0612,0.00000000
1.079550,242.563621,15.000000,0.000000,0.000000,0.000000,0.00681416,0.00161123,0.0615,0.00000000
1.084550,242.561604,15.000000,0.000000,0.000000,0.000000,0.00684566,0.00161686,0.0618,0.00000000
1.089550,242.559587,15.000000,0.000000,0.000000,0.000000,0.00687716,0.00162246,0.0621,0.00000000
1.094550,242.557570,15.000000,0.000000,0.000000,0.000000,0.00690865,0.00162806,0.0624,0.00000000
1.099550,242.555553,15.000000,0.000000,0.000000,0.000000,0.00694015,0.00163364,0.0626,0.00000000
1.104550,242.553536,15.000000,0.000000,0.000000,0.000000,0.00697164,0.00163920,0.0629,0.00000000
1.109550,242.551519,15.000000,0.000000,0.000000,0.000000,0.00700314,0.00164475,0.0632,0.00000000
1.114550,242.549502,15.000000,0.000000,0.000000,0.000000,0.00703463,0.00165029,0.0635,0.00000000
1.119550,242.547485,15.000000,0.000000,0.000000,0.000000,0.00706613,0.00165582,0.0638,0.00000000
1.124550,242.545469,15.000000,0.000000,0.000000,0.000000,0.00709762,0.00166133,0.0641,0.00000000
1.129550,242.543452,15.000000,0.000000,0.000000,0.000000,0.00712911,0.00166682,0.0644,0.00000000
1.134550,242.541435,15.000000,0.000000,0.000000,0.000000,0.00716060,0.00167231,0.0646,0.00000000
1.139550,242.539418,15.000000,0.000000,0.000000,0.000000,0.00719209,0.00167778,0.0649,0.00000000
1.144550,242.537402,15.000000,0.000000,0.000000,0.000000,0.00722358,0.00168323,0.0652,0.00000000
1.149550,242.535385,15.000000,0.000000,0.000000,0.000000,0.00725507,0.00168867,0.0655,0.00000000
1.154550,242.533368,15.000000,0.000000,0.000000,0.000000,0.00728656,0.00169410,0.0658,0.00000000
1.159550,242.531352,15.000000,0.000000,0.000000,0.000000,0.00731805,0.00169952,0.0661,0.00000000
1.164550,242.529335,15.000000,0.000000,0.000000,0.000000,0.00734954,0.00170492,0.0663,0.00000000
1.169550,242.527319,15.000000,0.000000,0.000000,0.000000,0.00738103,0.00171031,0.0666,0.00000000
1.174550,242.525303,15.000000,0.000000,0.000000,0.000000,0.00741252,0.00171568,0.0669,0.00000000
1.179550,242.523286,15.000000,0.000000,0.000000,0.000000,0.00744400,0.00172104,0.0672,0.00000000
1.184550,242.521270,15.000000,0.000000,0.000000,0.000000,0.00747549,0.00172639,0.0675,0.00000000
1.189550,242.519253,15.000000,0.000000,0.000000,0.000000,0.00750697,0.00173172,0.0678,0.00000000
1.194550,242.517237,15.000000,0.000000,0.000000,0.000000,0.00753846,0.00173704,0.0680,0.00000000
1.199550,242.515221,15.000000,0.000000,0.000000,0.000000,0.00756994,0.00174235,0.0683,0.00000000
1.204550,242.513205,15.000000,0.000000,0.000000,0.000000,0.00760143,0.00174765,0.0686,0.00000000
1.209550,242.511188,15.000000,0.000000,0.000000,0.000000,0.00763291,0.00175293,0.0689,0.00000000
1.214550,242.509172,15.000000,0.000000,0.000000,0.000000,0.00766439,0.00175820,0.0692,0.00000000
1.219550,242.507156,15.000000,0.000000,0.000000,0.000000,0.00769587,0.00176345,0.0695,0.00000000
1.224550,242.505140,15.000000,0.000000,0.000000,0.000000,0.00772736,0.00176869,0.0698,0.00000000
1.229550,242.503124,15.000000,0.000000,0.000000,0.000000,0.00775884,0.00177392,0.0700,0.00000000
1.234550,242.501108,15.000000,0.000000,0.000000,0.000000,0.00779032,0.00177914,0.0703,0.00000000
1.239550,242.499092,15.000000,0.000000,0.000000,0.000000,0.00782180,0.00178434,0.0706,0.00000000
1.244550,242.497076,15.000000,0.000000,0.000000,0.000000,0.00785328,0.00178953,0.0709,0.00000000
1.249550,242.495060,15.000000,0.000000,0.000000,0.000000,0.00788475,0.00179471,0.0712,0.00000000
1.254550,242.493045,15.000000,0.000000,0.000000,0.000000,0.00791623,0.00179987,0.0715,0.00000000
1.259550,242.491029,15.000000,0.000000,0.000000,0.000000,0.00794771,0.00180502,0.0717,0.00000000
1.264550,242.489013,15.000000,0.000000,0.000000,0.000000,0.00797919,0.00181016,0.0720,0.00000000
